Posizione,Similarità Coseno,Canzone,Immagine Abbinata
47,0.9678,000615.mp3,rosalba-carriera_portrait-of-a-young-girl-1708.jpg
48,0.9656,000368.mp3,pablo-picasso_the-harem-1906.jpg
49,0.9651,025216.mp3,nicholas-krushenick_untitled-1961.jpg
50,0.9627,000890.mp3,john-singer-sargent_villa-de-marlia-a-fountain-1910.jpg
51,0.9620,000853.mp3,pieter-brueghel-the-younger_conversion-of-saul-1590.jpg
52,0.9617,000546.mp3,louis-comfort-tiffany_reading-lamp-tulip-design-dome-shape-1906.jpg
53,0.9581,000540.mp3,le-corbusier_la-chemin-e-1918.jpg
54,0.9560,000707.mp3,le-corbusier_le-bol-rouge-1919.jpg
55,0.9543,000207.mp3,mikhail-larionov_sunset-after-rain.jpg
56,0.9539,005158.mp3,lucian-freud_naked-man-with-rat.jpg
57,0.9529,025378.mp3,jan-matejko_stanislaw-august.jpg
58,0.9498,000193.mp3,m-c-escher_baby.jpg
59,0.9498,000141.mp3,juan-van-der-hamen_abraham-und-die-drei-engel.jpg
60,0.9497,000708.mp3,pierre-auguste-renoir_pitcher-1919.jpg
61,0.9464,000715.mp3,kay-sage_le-passage-1956.jpg
62,0.9463,005191.mp3,luca-giordano_saint-sebastian-cured-by-irene-1665.jpg
63,0.9433,000694.mp3,victor-hugo_the-cellist-1856.jpg
64,0.9429,000534.mp3,nicholas-roerich_a-bird-with-spread-wings.jpg
65,0.9371,025063.mp3,nicholas-krushenick_untitled-1998.jpg
66,0.9360,005521.mp3,juan-gris_violin-with-fruit-1924.jpg
67,0.9234,025235.mp3,marcel-duchamp_portrait-of-chess-players-1911.jpg
68,0.9225,000676.mp3,vincent-van-gogh_women-working-in-the-peat-1883.jpg
69,0.9182,000204.mp3,paul-jacoulet_femme-tatouee-de-falalap-ouest-carolines-1935.jpg
70,0.9180,025124.mp3,stanley-spencer_the-resurrection-reunion-1.jpg
71,0.9179,000814.mp3,pierre-auguste-renoir_portrait-of-a-little-girl-1880.jpg
72,0.9147,025028.mp3,wassily-kandinsky_improvisation-dreamy-1913.jpg
73,0.9137,000213.mp3,juan-gris_the-table-in-front-of-the-picture-1926.jpg
74,0.9129,000424.mp3,jan-matejko_song.jpg
75,0.9070,000010.mp3,stanley-spencer_the-resurrection-with-the-raising-of-jairus-s-daughter.jpg
76,0.8987,025227.mp3,l-s-lowry_a-procession-1929.jpg
77,0.8977,005006.mp3,richard-jack_the-return-to-the-front-victoria-railway-station.jpg
78,0.8947,000190.mp3,le-corbusier_la-lanterne-et-le-petit-haricot-1930.jpg
79,0.8921,005879.mp3,chaldin-alex_lilies.jpg
80,0.8866,000625.mp3,giorgio-vasari_assumption-of-the-virgin-detail-1.jpg
81,0.8865,000620.mp3,william-hogarth_before-the-seduction-and-after-1731.jpg
82,0.8840,005936.mp3,kay-sage_constant-variation-1958.jpg
83,0.8652,000822.mp3,currier-and-ives_catching-a-trout-1854.jpg
84,0.8553,000993.mp3,marcel-duchamp_chess-game-1910.jpg
85,0.8406,025104.mp3,john-singer-sargent_villa-torlonia-fountain-1907-1.jpg
86,0.8265,025232.mp3,miklos-barabas_pigeon-post-1848.jpg
87,0.8250,000695.mp3,paul-jacoulet_dans-l-isle-de-tinian-marianes-1960.jpg
88,0.8220,000140.mp3,paul-jacoulet_hokkan-zan-seoul-coree-1937.jpg
89,0.8087,000574.mp3,richard-jack_the-honourable-edith-violet-kathleen-agar-robartes.jpg
90,0.8053,000998.mp3,lucas-van-leyden_virgil-in-the-basket-1516.jpg
91,0.7584,000714.mp3,aleksey-savrasov_courtyard-spring-1853.jpg
92,0.7530,000197.mp3,pierre-auguste-renoir_portrait-in-a-pink-dress.jpg
93,0.7415,000690.mp3,theophile-steinlen_ton-nez-1.jpg
94,0.7277,000995.mp3,edward-robert-hughes_day.jpg
95,0.7067,000148.mp3,lucian-freud_naked-girl-perched-on-a-chair.jpg
96,0.6894,000897.mp3,tamara-de-lempicka_portrait-of-kizette-adult-i-1955.jpg
97,0.6439,025030.mp3,hiroshige_prune-orchard-sun.jpg
98,0.6124,000825.mp3,quentin-matsys_portret-van-desiderius-erasmus.jpg
99,0.5480,025031.mp3,rosalba-carriera_crown-prince-friedrich-christian-of-saxony-1739.jpg
100,0.4016,025055.mp3,rachel-ruysch_spray-of-flowers-with-a-beetle-on-a-stone-balustrade-1741.jpg
