Nome Immagine,Frammento 1,Frammento 2,Frammento 3,Frammento 4,Descrizione Totale
juan-gris_violin-with-fruit-1924.jpg,"rgb(100, 150, 50)","rgb(180, 120, 60)","rgb(140, 130, 70)","rgb(160, 110, 80)","rgb(120, 140, 90)"
juan-van-der-hamen_abraham-und-die-drei-engel.jpg,"rgb(120, 180, 80)","rgb(150, 160, 100)","rgb(130, 140, 90)","rgb(140, 150, 85)","rgb(125, 165, 75)"
kay-nielsen_the-unicorn-valiant-little-tailor.jpg,"rgb(100, 150, 50)","rgb(180, 120, 60)","rgb(140, 160, 70)","rgb(120, 130, 80)","rgb(160, 140, 90)"
kay-sage_constant-variation-1958.jpg,"rgb(190, 100, 50)","rgb(170, 90, 40)","rgb(150, 80, 30)","rgb(130, 70, 20)","rgb(110, 60, 10)"
kay-sage_le-passage-1956.jpg,"rgb(100, 150, 50)","rgb(180, 120, 30)","rgb(140, 160, 60)","rgb(120, 130, 40)","rgb(160, 140, 50)"
l-s-lowry_a-procession-1929.jpg,"rgb(120, 180, 80)","rgb(150, 160, 60)","rgb(100, 140, 50)","rgb(130, 170, 70)","rgb(110, 150, 60)"
le-corbusier_divinit-baroque-1943-1.jpg,"rgb(120, 180, 60)","rgb(150, 160, 50)","rgb(130, 170, 40)","rgb(140, 165, 45)","rgb(125, 175, 35)"
le-corbusier_la-chemin-e-1918.jpg,"rgb(120, 180, 60)","rgb(150, 160, 50)","rgb(130, 170, 40)","rgb(140, 165, 45)","rgb(125, 175, 55)"
le-corbusier_la-lanterne-et-le-petit-haricot-1930.jpg,"rgb(100, 150, 50)","rgb(180, 120, 60)","rgb(140, 160, 70)","rgb(120, 130, 80)","rgb(160, 140, 90)"
le-corbusier_le-bol-rouge-1919.jpg,"rgb(190, 105, 40)","rgb(210, 130, 60)","rgb(170, 110, 50)","rgb(200, 120, 65)","rgb(180, 100, 45)"
louis-comfort-tiffany_reading-lamp-tulip-design-dome-shape-1906.jpg,"rgb(100, 150, 50)","rgb(120, 160, 60)","rgb(140, 170, 70)","rgb(160, 180, 80)","rgb(180, 190, 90)"
luca-giordano_saint-sebastian-cured-by-irene-1665.jpg,"rgb(100, 150, 50)","rgb(180, 120, 60)","rgb(140, 130, 70)","rgb(160, 110, 80)","rgb(120, 140, 90)"
lucas-van-leyden_virgil-in-the-basket-1516.jpg,"rgb(100, 150, 50)","rgb(180, 120, 60)","rgb(140, 130, 70)","rgb(160, 110, 80)","rgb(120, 140, 90)"
lucian-freud_naked-girl-perched-on-a-chair.jpg,"rgb(100, 150, 50)","rgb(180, 120, 60)","rgb(140, 130, 70)","rgb(160, 110, 80)","rgb(120, 140, 90)"
lucian-freud_naked-man-with-his-friend.jpg,"rgb(100, 150, 50)","rgb(180, 120, 60)","rgb(140, 130, 70)","rgb(160, 110, 80)","rgb(120, 140, 90)"
lucian-freud_naked-man-with-rat.jpg,"rgb(180, 100, 50)","rgb(200, 120, 60)","rgb(160, 90, 40)","rgb(190, 110, 55)","rgb(175, 105, 45)"
lucian-freud_naked-portrait-1973.jpg,"rgb(120, 180, 100)","rgb(150, 160, 90)","rgb(130, 170, 80)","rgb(140, 165, 75)","rgb(125, 175, 85)"
luis-feito_n-mero-148-1959.jpg,"rgb(140, 100, 60)","rgb(180, 120, 80)","rgb(160, 110, 70)","rgb(150, 105, 65)","rgb(170, 115, 75)"
m-c-escher_baby.jpg,"rgb(100, 150, 50)","rgb(180, 120, 60)","rgb(140, 160, 80)","rgb(120, 130, 90)","rgb(160, 140, 70)"
m-c-escher_bookplate-b-g-escher-beer.jpg,"rgb(100, 150, 50)","rgb(180, 120, 60)","rgb(120, 160, 80)","rgb(140, 130, 70)","rgb(160, 140, 90)"
manuel-rivera_mutant-mirror-no-5-1971.jpg,"rgb(120, 180, 80)","rgb(150, 160, 70)","rgb(130, 170, 60)","rgb(140, 165, 65)","rgb(125, 175, 65)"
marc-chagall_abdullah-discovered-before-him-1948.jpg,"rgb(120, 180, 80)","rgb(150, 160, 60)","rgb(130, 170, 70)","rgb(140, 165, 65)","rgb(125, 175, 75)"
marc-chagall_abraham-and-three-angels-1.jpg,"rgb(100, 150, 50)","rgb(180, 120, 60)","rgb(140, 130, 70)","rgb(160, 110, 80)","rgb(120, 140, 90)"
marcel-duchamp_chess-game-1910.jpg,"rgb(100, 50, 30)","rgb(150, 70, 40)","rgb(120, 60, 35)","rgb(130, 65, 38)","rgb(110, 55, 32)"
marcel-duchamp_landscape-at-blainville-1902.jpg,"rgb(100, 150, 50)","rgb(180, 120, 60)","rgb(140, 160, 80)","rgb(120, 130, 70)","rgb(160, 140, 90)"
marcel-duchamp_portrait-of-chess-players-1911.jpg,"rgb(120, 180, 100)","rgb(150, 160, 90)","rgb(130, 170, 80)","rgb(140, 165, 85)","rgb(125, 175, 95)"
mark-tobey_the-new-day-1945.jpg,"rgb(100, 150, 50)","rgb(180, 120, 30)","rgb(140, 160, 60)","rgb(120, 130, 40)","rgb(160, 140, 50)"
maynard-dixon_the-warriors-1911.jpg,"rgb(120, 180, 60)","rgb(190, 140, 40)","rgb(150, 160, 50)","rgb(170, 130, 30)","rgb(160, 150, 45)"
mikhail-larionov_sunset-after-rain.jpg,"rgb(100, 150, 50)","rgb(180, 120, 60)","rgb(140, 160, 80)","rgb(120, 130, 70)","rgb(160, 140, 90)"
miklos-barabas_pigeon-post-1848.jpg,"rgb(180, 100, 50)","rgb(200, 150, 70)","rgb(160, 120, 60)","rgb(190, 110, 55)","rgb(175, 130, 65)"
nicholas-krushenick_greenwood-1979.jpg,"rgb(100, 150, 50)","rgb(180, 120, 80)","rgb(140, 160, 110)","rgb(120, 130, 90)","rgb(160, 140, 100)"
nicholas-krushenick_untitled-1961.jpg,"rgb(100, 150, 50)","rgb(180, 120, 80)","rgb(140, 160, 110)","rgb(120, 130, 90)","rgb(160, 140, 70)"
nicholas-krushenick_untitled-1963.jpg,"rgb(100, 150, 50)","rgb(180, 120, 80)","rgb(140, 160, 110)","rgb(120, 130, 90)","rgb(160, 140, 70)"
nicholas-krushenick_untitled-1998.jpg,"rgb(100, 150, 50)","rgb(180, 120, 80)","rgb(140, 160, 110)","rgb(120, 130, 90)","rgb(160, 140, 70)"
nicholas-roerich_a-bird-with-spread-wings.jpg,"rgb(100, 150, 50)","rgb(180, 120, 30)","rgb(140, 160, 60)","rgb(120, 130, 40)","rgb(160, 140, 50)"
nikolay-bogdanov-belsky_country-boy.jpg,"rgb(100, 150, 50)","rgb(180, 120, 60)","rgb(140, 160, 80)","rgb(120, 130, 90)","rgb(160, 140, 70)"
nikolay-bogdanov-belsky_country-boys-1.jpg,"rgb(100, 150, 50)","rgb(180, 120, 60)","rgb(140, 160, 80)","rgb(120, 130, 90)","rgb(160, 140, 70)"
nikolay-bogdanov-belsky_cowboy-2.jpg,"rgb(100, 150, 50)","rgb(180, 120, 60)","rgb(140, 160, 70)","rgb(120, 130, 80)","rgb(160, 140, 90)"
pablo-picasso_the-fool-1904.jpg,"rgb(150, 100, 50)","rgb(180, 120, 60)","rgb(130, 90, 40)","rgb(160, 110, 55)","rgb(145, 105, 45)"
pablo-picasso_the-girls-of-avignon-study-1907.jpg,"rgb(255, 100, 100)","rgb(255, 150, 100)","rgb(255, 170, 100)","rgb(255, 190, 100)","rgb(255, 210, 100)"
pablo-picasso_the-harem-1906.jpg,"rgb(120, 180, 80)","rgb(150, 160, 60)","rgb(130, 140, 50)","rgb(140, 130, 40)","rgb(125, 125, 35)"
paul-jacoulet_dans-l-isle-de-tinian-marianes-1960.jpg,"rgb(100, 150, 50)","rgb(180, 120, 30)","rgb(140, 160, 60)","rgb(120, 130, 40)","rgb(160, 140, 50)"
paul-jacoulet_femme-tatouee-de-falalap-ouest-carolines-1935.jpg,"rgb(100, 150, 50)","rgb(180, 120, 60)","rgb(140, 160, 80)","rgb(120, 130, 70)","rgb(160, 140, 90)"
paul-jacoulet_hokkan-zan-seoul-coree-1937.jpg,"rgb(120, 180, 60)","rgb(150, 160, 50)","rgb(130, 170, 40)","rgb(140, 165, 45)","rgb(125, 175, 55)"
pierre-auguste-renoir_pitcher-1919.jpg,"rgb(100, 150, 50)","rgb(180, 120, 60)","rgb(140, 160, 80)","rgb(120, 130, 90)","rgb(160, 140, 70)"
pierre-auguste-renoir_portrait-in-a-pink-dress.jpg,"rgb(100, 150, 50)","rgb(180, 120, 60)","rgb(140, 160, 80)","rgb(120, 130, 70)","rgb(160, 140, 90)"
pierre-auguste-renoir_portrait-of-a-girl-1880.jpg,"rgb(120, 180, 100)","rgb(150, 160, 90)","rgb(130, 170, 80)","rgb(140, 165, 75)","rgb(125, 175, 85)"
pierre-auguste-renoir_portrait-of-a-little-girl-1880.jpg,"rgb(120, 180, 100)","rgb(150, 160, 90)","rgb(130, 170, 80)","rgb(140, 165, 75)","rgb(125, 175, 85)"
pierre-jacques-pelletier_le-pont-marie-a-paris.jpg,"rgb(100, 150, 50)","rgb(180, 120, 60)","rgb(140, 160, 80)","rgb(120, 130, 90)","rgb(160, 140, 70)"
pierre-tal-coat_self-portrait.jpg,"rgb(120, 180, 100)","rgb(150, 160, 90)","rgb(130, 170, 80)","rgb(140, 165, 85)","rgb(125, 175, 85)"
pierre-tal-coat_untitled-1975-1.jpg,"rgb(100, 150, 50)","rgb(180, 120, 80)","rgb(140, 160, 110)","rgb(120, 130, 90)","rgb(160, 140, 100)"
pierre-tal-coat_untitled.jpg,"rgb(100, 150, 50)","rgb(180, 120, 80)","rgb(140, 160, 110)","rgb(120, 130, 90)","rgb(160, 140, 70)"
pierre-tal-coat_vol-d-oiseaux-i-1959.jpg,"rgb(120, 180, 60)","rgb(150, 160, 50)","rgb(130, 170, 40)","rgb(140, 165, 45)","rgb(125, 175, 55)"
pieter-brueghel-the-younger_conversion-of-saul-1590.jpg,"rgb(100, 150, 50)","rgb(180, 120, 60)","rgb(140, 130, 70)","rgb(160, 110, 80)","rgb(120, 140, 90)"
quentin-matsys_portret-van-desiderius-erasmus.jpg,"rgb(100, 150, 50)","rgb(180, 120, 60)","rgb(140, 160, 80)","rgb(120, 130, 90)","rgb(160, 140, 70)"
rachel-ruysch_posy-of-flowers-with-a-red-admiral-butterfly-on-a-marble-ledge-1695.jpg,"rgb(100, 150, 50)","rgb(120, 160, 60)","rgb(90, 140, 40)","rgb(110, 150, 50)","rgb(130, 160, 60)"
rachel-ruysch_spray-of-flowers-with-a-beetle-on-a-stone-balustrade-1741.jpg,"rgb(100, 150, 50)","rgb(120, 160, 60)","rgb(90, 140, 40)","rgb(110, 150, 50)","rgb(130, 160, 60)"
raden-saleh_a-flood-in-java.jpg,"rgb(180, 50, 50)","rgb(200, 100, 100)","rgb(150, 70, 70)","rgb(170, 60, 60)","rgb(160, 55, 55)"
richard-jack_river-scene-with-jetty.jpg,"rgb(100, 150, 50)","rgb(180, 120, 60)","rgb(140, 160, 80)","rgb(120, 130, 70)","rgb(160, 140, 90)"
richard-jack_the-honourable-edith-violet-kathleen-agar-robartes.jpg,"rgb(100, 150, 50)","rgb(180, 120, 60)","rgb(140, 160, 80)","rgb(120, 130, 90)","rgb(160, 140, 70)"
richard-jack_the-return-to-the-front-victoria-railway-station.jpg,"rgb(170, 105, 50)","rgb(200, 150, 90)","rgb(140, 80, 40)","rgb(190, 130, 70)","rgb(160, 110, 60)"
rosalba-carriera_crown-prince-friedrich-christian-of-saxony-1739.jpg,"rgb(100, 150, 50)","rgb(120, 160, 60)","rgb(90, 140, 40)","rgb(110, 150, 50)","rgb(130, 160, 60)"
rosalba-carriera_portrait-of-a-young-girl-1708.jpg,"rgb(170, 170, 170)","rgb(128, 128, 128)","rgb(255, 255, 255)","rgb(100, 100, 100)","rgb(50, 50, 50)"
sebastiano-conca_the-education-of-achilles.jpg,"rgb(100, 50, 30)","rgb(150, 70, 40)","rgb(120, 60, 35)","rgb(130, 65, 38)","rgb(110, 55, 32)"
stanley-spencer_the-resurrection-cookham-1927.jpg,"rgb(120, 180, 80)","rgb(150, 160, 60)","rgb(100, 140, 50)","rgb(130, 170, 70)","rgb(110, 150, 60)"
stanley-spencer_the-resurrection-reunion-1.jpg,"rgb(120, 180, 80)","rgb(150, 160, 60)","rgb(100, 140, 50)","rgb(130, 170, 70)","rgb(110, 150, 60)"
stanley-spencer_the-resurrection-with-the-raising-of-jairus-s-daughter.jpg,"rgb(255, 100, 100)","rgb(255, 150, 50)","rgb(255, 200, 0)","rgb(255, 180, 120)","rgb(255, 120, 60)"
tamara-de-lempicka_portrait-of-kizette-adult-i-1955.jpg,"rgb(120, 180, 100)","rgb(150, 170, 90)","rgb(130, 160, 80)","rgb(140, 150, 70)","rgb(125, 165, 85)"
theophile-steinlen_ton-nez-1.jpg,"rgb(100, 150, 50)","rgb(180, 120, 80)","rgb(140, 160, 110)","rgb(120, 130, 90)","rgb(160, 140, 70)"
theophile-steinlen_trois-permissionaires-barbus-1916.jpg,"rgb(120, 180, 80)","rgb(150, 160, 60)","rgb(130, 170, 70)","rgb(140, 165, 65)","rgb(125, 175, 75)"
victor-hugo_the-cellist-1856.jpg,"rgb(100, 150, 50)","rgb(180, 120, 60)","rgb(140, 130, 70)","rgb(160, 110, 80)","rgb(120, 140, 90)"
vincent-van-gogh_women-working-in-the-peat-1883.jpg,"rgb(120, 180, 80)","rgb(150, 160, 60)","rgb(100, 140, 50)","rgb(130, 170, 70)","rgb(110, 150, 60)"
wassily-kandinsky_improvisation-dreamy-1913.jpg,"rgb(170, 100, 50)","rgb(200, 150, 80)","rgb(140, 120, 60)","rgb(190, 130, 70)","rgb(160, 110, 55)"
william-henry-huddle_portrait-of-madam-candelaria-1891.jpg,"rgb(120, 180, 100)","rgb(150, 160, 90)","rgb(130, 170, 80)","rgb(140, 165, 75)","rgb(125, 175, 85)"
william-hogarth_before-the-seduction-and-after-1731.jpg,"rgb(170, 100, 50)","rgb(200, 150, 80)","rgb(140, 120, 60)","rgb(190, 130, 70)","rgb(160, 110, 55)"
